Country Code,Country Name,1994,2019
AGO,Angola,282570,8178
BDI,Burundi,389698,381508
BEN,Benin,72,716
BFA,Burkina Faso,69,11733
BWA,Botswana,22,228
CAF,Central African Republic,264,610203
CIV,Cote d'Ivoire,102,39364
CMR,Cameroon,236,66305
COD,"Congo, Dem. Rep.",73279,807374
COG,"Congo, Rep.",33,13481
COM,Comoros,5,658
CPV,Cabo Verde,,10
ERI,Eritrea,422432,505118
ETH,Ethiopia,226429,95685
GAB,Gabon,22,440
GHA,Ghana,14284,18425
GIN,Guinea,101,26857
GMB,"Gambia, The",24,17813
GNB,Guinea-Bissau,5011,2093
GNQ,Equatorial Guinea,340,156
KEN,Kenya,8772,8018
LBR,Liberia,797834,5375
LSO,Lesotho,,6
MDG,Madagascar,,298
MLI,Mali,172903,164461
MOZ,Mozambique,234495,77
MRT,Mauritania,68039,37423
MUS,Mauritius,,178
MWI,Malawi,60,606
NAM,Namibia,65,459
NER,Niger,22019,3063
NGA,Nigeria,587,295569
RWA,Rwanda,2257570,246698
SDN,Sudan,405129,734947
SEN,Senegal,25619,17203
SLE,Sierra Leone,275298,5268
SOM,Somalia,631420,905109
SSD,South Sudan,,2234814
STP,Sao Tome and Principe,28,28
SWZ,Eswatini,11,217
SYC,Seychelles,553,15
TCD,Chad,211968,11192
TGO,Togo,167866,8022
TZA,Tanzania,62,849
UGA,Uganda,31446,7479
ZAF,South Africa,1514,441
ZMB,Zambia,15,261
ZWE,Zimbabwe,38,10603
